Nov 21 13:10:55 hmland node[4131420]: [13:10:55,531] [INFO] [system] Ladung gestoppt
Nov 21 13:11:30 hmland node[4131420]: [13:11:30,337] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1792.8W > 1500W für 30s
Nov 21 13:11:32 hmland node[4131420]: [13:11:32,449] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:11:34 hmland node[4131420]: [13:11:34,509] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:11:35 hmland node[4131420]: [13:11:35,521] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:11:35 hmland node[4131420]: [13:11:35,599] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:11:40 hmland node[4131420]: [13:11:40,299] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1740796mW) → setze isActive=true
Nov 21 13:11:40 hmland node[4131420]: [13:11:40,318] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 373W < 1000W - Stopp-Timer gestartet
Nov 21 13:11:40 hmland node[4131420]: [13:11:40,320] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:11:41 hmland node[4131420]: [13:11:41,351] [INFO] [system] Ladung gestoppt
Nov 21 13:11:41 hmland node[4131420]: [13:11:41,420] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:12:10 hmland node[4131420]: [13:12:10,309] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1787.4W > 1500W für 34.701s
Nov 21 13:12:12 hmland node[4131420]: [13:12:12,498] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:12:14 hmland node[4131420]: [13:12:14,556] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:12:15 hmland node[4131420]: [13:12:15,569] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:12:20 hmland node[4131420]: [13:12:20,253] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 954W < 1000W - Stopp-Timer gestartet
Nov 21 13:12:20 hmland node[4131420]: [13:12:20,260] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:12:22 hmland node[4131420]: [13:12:22,348] [INFO] [system] Ladung gestoppt
Nov 21 13:12:22 hmland node[4131420]: [13:12:22,369] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:13:00 hmland node[4131420]: [13:13:00,350] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1789.2W > 1500W für 35.901s
Nov 21 13:13:02 hmland node[4131420]: [13:13:02,564] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:13:04 hmland node[4131420]: [13:13:04,624] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:13:05 hmland node[4131420]: [13:13:05,636] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:13:05 hmland node[4131420]: [13:13:05,715] [INFO] [system] [RECONCILE] Context sagt isActive=true, aber Wallbox lädt nicht (State=2, Power=0mW) → setze isActive=false
Nov 21 13:13:10 hmland node[4131420]: [13:13:10,315] [INFO] [system] [RECONCILE] Context sagt isActive=false, aber Wallbox lädt (State=3, Power=1748782mW) → setze isActive=true
Nov 21 13:13:10 hmland node[4131420]: [13:13:10,326] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 546W < 1000W - Stopp-Timer gestartet
Nov 21 13:13:10 hmland node[4131420]: [13:13:10,328] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:13:11 hmland node[4131420]: [13:13:11,366] [INFO] [system] Ladung gestoppt
Nov 21 13:13:11 hmland node[4131420]: [13:13:11,436] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:13:40 hmland node[4131420]: [13:13:40,321] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1733.4W > 1500W für 34.594s
Nov 21 13:13:42 hmland node[4131420]: [13:13:42,513] [INFO] [system] Ladung gestartet mit 8A @ 1P (Strategie: surplus_battery_prio)
Nov 21 13:13:44 hmland node[4131420]: [13:13:44,572] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 5 → 2 (ready for charging) (von 192.168.40.16)
Nov 21 13:13:45 hmland node[4131420]: [13:13:45,584] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 2 → 3 (charging) (von 192.168.40.16)
Nov 21 13:13:50 hmland node[4131420]: [13:13:50,269] [INFO] [system] [surplus_battery_prio] Überschuss unter Schwellwert: 426W < 1000W - Stopp-Timer gestartet
Nov 21 13:13:50 hmland node[4131420]: [13:13:50,272] [INFO] [system] [surplus_battery_prio] result=null && isActive → Batterie-Priorisierung: Überschuss reicht nicht (< 1380W @ 1P) - STOP
Nov 21 13:13:52 hmland node[4131420]: [13:13:52,363] [INFO] [system] Ladung gestoppt
Nov 21 13:13:52 hmland node[4131420]: [13:13:52,387] [INFO] [system] [Wallbox-Broadcast-Listener] State geändert: 3 → 5 (authorization rejected) (von 192.168.40.16)
Nov 21 13:14:30 hmland node[4131420]: [13:14:30,318] [INFO] [system] Start-Bedingung erfüllt: Überschuss 1686.6000000000001W > 1500W für 35.85s
